10000,0,0,0
9166,2,0,0
8219,2,0,0
7388,2,0,0
6784,2,0,0
6052,3,0,0
5506,2,0,0
4936,3,0,0
4462,3,0,0
3942,2,0,0
3582,2,0,0
3268,3,0,0
3004,3,0,0
2608,5,0,0
2335,3,0,0
2056,6,0,0
1870,9,0,0
1650,14,0,0
1525,20,0,0
1370,27,0,0
1193,27,0,0
1180,23,0,0
1078,16,0,0
960,19,0,0
894,25,0,0
793,31,0,0
691,29,0,0
590,34,0,0
527,27,0,0
460,27,0,0
452,25,0,0
398,21,0,0
368,13,0,0
369,17,0,0
299,15,0,0
270,18,0,0
225,23,0,0
177,15,0,0
134,19,0,0
119,21,0,0
132,19,0,0
102,20,0,0
94,21,0,0
91,17,0,0
91,19,0,0
74,15,0,0
65,22,0,0
55,19,0,0
49,16,0,0
48,12,0,0
30,15,0,0
33,6,0,0
29,7,0,0
29,11,0,0
24,8,0,0
22,4,0,0
15,5,0,0
11,4,0,0
8,2,0,0
7,1,0,0
6,0,0,0
3,0,0,0
3,0,0,0
3,0,0,0
2,0,0,0
2,0,0,0
